Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,0060935464,9780060935467,4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2/3/23,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,0152023984,9780152023980,3,4.33,"Harcourt, Inc.",Hardcover,96,2000,1943,,11/10/23,,,read,,,,1,0
203220,Les Fleurs du Mal,Charles Baudelaire,"Baudelaire, Charles","Richard Howard, Cyril Scott, Odilon Redon, Nydia Lamarque",0879234628,9780879234621,4,4.19,David R. Godine Publisher,Paperback,365,1983,1857,,11/10/23,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,,,4,4.1,Dial Press,Paperback,275,1999,1969,,2/3/23,,,read,,,,1,0
261240,The Cask of Amontillado,Edgar Allan Poe,"Poe, Edgar Allan",,1594561869,9781594561863,4,4.07,BookSurge,Paperback,24,2009,1846,,11/10/23,,,read,,,,1,0
92517,The Glass Menagerie,Tennessee Williams,"Williams, Tennessee",Robert Bray,0811214044,9780811214049,4,3.74,New Directions,Paperback,104,1999,1945,,2/3/23,,,read,,,,1,0
53496,Walk Two Moons,Sharon Creech,"Creech, Sharon",,0060739495,9780060739492,4,4,HarperTrophy,Paperback,280,1996,1994,,11/10/23,,,read,,,,0,0
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,,,4,4.17,Penguin Books Ltd,Paperback,246,2000,1962,,2/3/23,,,read,,,,1,0
918789,West Side Story,Irving Shulman,"Shulman, Irving",,0671725661,9780671725662,3,4.1,Pocket Books,Mass Market Paperback,160,1990,1961,,11/10/23,,,read,,,,1,0
16690,The Moon Is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,0340837942,9780340837948,4,4.15,Hodder & Stoughton,Paperback,288,2005,1966,,2/3/23,,,read,,,,1,0
